# {"t_start": 1782311387.5549908, "env_id": "PctContinuous-v0"} 
r,l,t
12.670649,92,12048.805521
10.927552,83,12064.418504
11.818387,90,12080.967529
11.576771,87,12096.510405
12.791274,97,12114.882447
12.411771,86,12130.816942
11.360733,83,12145.788895
11.970802,86,12161.842481
10.858228,81,12177.466437
12.277158,88,12194.240954
10.392499,71,12207.27493
12.234286,84,12222.914324
10.735807,76,12236.689853
12.856216,91,12252.992543
12.144217,91,12270.065019
11.900868,89,12286.469808
12.860226,95,12304.431912
11.816145,88,12320.838488
11.494507,81,12336.49473
11.534108,85,12352.362657
12.025682,87,12368.931769
-4.768662,28,12373.940691
12.210247,91,12390.3451
12.200166,89,12406.723471
11.989968,88,12423.202144
11.415719,87,12439.848384
10.848741,78,12453.808862
10.615587,84,12469.009559
11.797473,83,12484.51432
10.840905,78,12498.914754
12.107673,83,12513.852552
11.811329,83,12529.09516
12.565378,98,12547.1509
10.823326,84,12562.87441
11.373148,84,12578.356592
12.064611,87,12593.779041
11.470786,82,12608.344676
11.129917,78,12622.861353
11.389471,84,12637.759194
11.027911,77,12651.345417
11.430424,83,12666.713959
11.682033,82,12682.045367
11.298903,83,12696.644072
11.152349,81,12711.960838
11.120103,83,12727.582325
11.318849,81,12742.23514
11.06222,80,12756.960744
12.008111,87,12772.833247
10.911124,76,12787.183178
11.12107,75,12800.649682
12.064705,86,12816.857666
11.124257,80,12831.725024
11.279357,80,12846.315923
11.449675,84,12862.214418
11.060038,78,12876.523594
12.157017,92,12893.475192
11.494533,86,12909.602519
11.170065,82,12925.331563
11.494085,84,12940.486003
10.716392,79,12954.98497
12.241741,86,12971.431703
10.936812,79,12985.862154
11.223024,79,13000.295451
12.536334,91,13017.675373
11.964665,85,13033.252632
12.758755,93,13051.378159
10.823044,75,13065.446768
11.458126,84,13081.148044
12.200431,88,13097.88462
11.969682,93,13115.658245
12.369679,87,13131.738527
11.179572,79,13146.994277
13.059136,96,13165.057018
11.201367,81,13180.506907
12.479613,86,13196.424212
11.441558,84,13212.384842
11.875758,89,13228.896381
11.241187,84,13244.071039
11.298481,86,13259.792033
